FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
1/9/2019,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1562,FLL,"Fort Lauderdale, FL",EWR,"Newark, NJ",1155,1151,-4,19,1210,1443,4,1501,1447,-14,0,,0,186,176,153,1065,,,,,
11/19/2022,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1149,MSP,"Minneapolis, MN",SEA,"Seattle, WA",2120,2114,-6,9,2123,2232,38,2315,2310,-5,0,,0,235,236,189,1399,,,,,
7/22/2022,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,459,DEN,"Denver, CO",MSP,"Minneapolis, MN",954,1000,6,20,1020,1247,5,1252,1252,0,0,,0,118,112,87,680,,,,,
3/6/2023,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2295,MSP,"Minneapolis, MN",SFO,"San Francisco, CA",1609,1608,-1,27,1635,1844,9,1829,1853,24,0,,0,260,285,249,1589,0,0,24,0,0
2/23/2020,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,407,MCO,"Orlando, FL",DFW,"Dallas/Fort Worth, TX",1840,1838,-2,15,1853,2026,14,2041,2040,-1,0,,0,181,182,153,985,,,,,
7/31/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,665,DAL,"Dallas, TX",OKC,"Oklahoma City, OK",1010,1237,147,15,1252,1328,3,1110,1331,141,0,,0,60,54,36,181,141,0,0,0,0
6/11/2023,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2134,DCA,"Washington, DC",BOS,"Boston, MA",1010,1001,-9,23,1024,1122,8,1159,1130,-29,0,,0,109,89,58,399,,,,,
7/8/2019,Republic Airline,Republic Airline: YX,YX,20452,4464,HSV,"Huntsville, AL",DCA,"Washington, DC",1643,1637,-6,22,1659,1927,41,1945,2008,23,0,,0,122,151,88,613,0,0,23,0,0
2/12/2023,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,590,IAH,"Houston, TX",LAX,"Los Angeles, CA",530,527,-3,11,538,658,8,717,706,-11,0,,0,227,219,200,1379,,,,,
8/22/2020,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,223,SEA,"Seattle, WA",FAI,"Fairbanks, AK",2125,2116,-9,19,2135,2353,3,2355,2356,1,0,,0,210,220,198,1533,,,,,
6/11/2021,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2820,ATL,"Atlanta, GA",BDL,"Hartford, CT",1850,1959,69,14,2013,2208,4,2112,2212,60,0,,0,142,133,115,859,60,0,0,0,0
7/31/2020,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2107,RDU,"Raleigh/Durham, NC",DFW,"Dallas/Fort Worth, TX",1207,1201,-6,14,1215,1346,11,1358,1357,-1,0,,0,171,176,151,1061,,,,,
8/5/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,430,MDW,"Chicago, IL",BNA,"Nashville, TN",820,826,6,10,836,935,6,940,941,1,0,,0,80,75,59,395,,,,,
11/20/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1065,BDL,"Hartford, CT",ATL,"Atlanta, GA",600,555,-5,15,610,802,6,840,808,-32,0,,0,160,133,112,859,,,,,
4/7/2020,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,687,SJC,"San Jose, CA",LAX,"Los Angeles, CA",2155,,,,,,,2315,,,1,D,0,80,,,308,,,,,
5/1/2022,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1011,BWI,"Baltimore, MD",BDL,"Hartford, CT",1735,1738,3,12,1750,1843,3,1840,1846,6,0,,0,65,68,53,283,,,,,
7/1/2020,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1225,STT,"Charlotte Amalie, VI",ATL,"Atlanta, GA",1615,1613,-2,15,1628,1945,3,1957,1948,-9,0,,0,222,215,197,1599,,,,,
12/25/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2516,DAL,"Dallas, TX",MSY,"New Orleans, LA",1435,1428,-7,9,1437,1533,3,1600,1536,-24,0,,0,85,68,56,436,,,,,
3/24/2019,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,906,DEN,"Denver, CO",IAH,"Houston, TX",1530,1526,-4,14,1540,1830,15,1858,1845,-13,0,,0,148,139,110,862,,,,,
3/17/2019,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1157,SRQ,"Sarasota/Bradenton, FL",ORD,"Chicago, IL",1615,1611,-4,31,1642,1838,12,1815,1850,35,0,,0,180,219,176,1050,0,0,35,0,0
5/5/2022,JetBlue Airways,JetBlue Airways: B6,B6,20409,1273,JFK,"New York, NY",CHS,"Charleston, SC",803,800,-3,17,817,943,3,1012,946,-26,0,,0,129,106,86,636,,,,,
1/27/2019,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,262,FLL,"Fort Lauderdale, FL",ACY,"Atlantic City, NJ",1430,1443,13,28,1511,1706,5,1700,1711,11,0,,0,150,148,115,977,,,,,
11/12/2022,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2706,GRR,"Grand Rapids, MI",MSP,"Minneapolis, MN",730,720,-10,10,730,731,5,806,736,-30,0,,0,96,76,61,408,,,,,
9/6/2022,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1754,DFW,"Dallas/Fort Worth, TX",PNS,"Pensacola, FL",830,830,0,19,849,1016,4,1014,1020,6,0,,0,104,110,87,604,,,,,
5/25/2021,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5037,CLT,"Charlotte, NC",RDU,"Raleigh/Durham, NC",914,906,-8,30,936,1005,4,1029,1009,-20,0,,0,75,63,29,130,,,,,
4/23/2019,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,498,ORD,"Chicago, IL",IAD,"Washington, DC",1330,1329,-1,23,1352,1612,3,1620,1615,-5,0,,0,110,106,80,588,,,,,
7/4/2021,Allegiant Air,Allegiant Air: G4,G4,20368,46,LAS,"Las Vegas, NV",GEG,"Spokane, WA",625,639,14,28,707,854,4,833,858,25,0,,0,128,139,107,806,0,0,25,0,0
4/3/2019,ExpressJet Airlines LLC d/b/a aha!,ExpressJet Airlines LLC d/b/a aha!: EV,EV,20366,4450,TUL,"Tulsa, OK",IAH,"Houston, TX",859,852,-7,10,902,1014,14,1045,1028,-17,0,,0,106,96,72,429,,,,,
3/6/2022,JetBlue Airways,JetBlue Airways: B6,B6,20409,406,FLL,"Fort Lauderdale, FL",EWR,"Newark, NJ",2030,2030,0,14,2044,2309,11,2328,2320,-8,0,,0,178,170,145,1065,,,,,
4/15/2023,Republic Airline,Republic Airline: YX,YX,20452,3615,MSP,"Minneapolis, MN",EWR,"Newark, NJ",1325,714,1069,55,809,1134,33,1723,1207,1124,0,,0,178,233,145,1008,0,0,1124,0,0
1/3/2023,Allegiant Air,Allegiant Air: G4,G4,20368,1206,USA,"Concord, NC",SFB,"Sanford, FL",1541,1531,-10,12,1543,1653,18,1709,1711,2,0,,0,88,100,70,457,,,,,
1/31/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,231,DFW,"Dallas/Fort Worth, TX",RNO,"Reno, NV",1140,1135,-5,16,1151,1241,6,1318,1247,-31,0,,0,218,192,170,1345,,,,,
6/8/2021,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1378,ORD,"Chicago, IL",ABQ,"Albuquerque, NM",1315,1316,1,14,1330,1457,8,1516,1505,-11,0,,0,181,169,147,1118,,,,,
6/21/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1214,SLC,"Salt Lake City, UT",DFW,"Dallas/Fort Worth, TX",600,558,-2,10,608,915,14,940,929,-11,0,,0,160,151,127,989,,,,,
12/28/2021,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5311,IAH,"Houston, TX",BOI,"Boise, ID",1805,1835,30,16,1851,2121,3,2110,2124,14,0,,0,245,229,210,1482,,,,,
12/25/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3711,BNA,"Nashville, TN",MCI,"Kansas City, MO",1715,1711,-4,8,1719,1835,6,1855,1841,-14,0,,0,100,90,76,491,,,,,
7/23/2023,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1182,AUS,"Austin, TX",IAH,"Houston, TX",520,521,1,18,539,606,9,617,615,-2,0,,0,57,54,27,140,,,,,
7/18/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,992,IND,"Indianapolis, IN",TPA,"Tampa, FL",2135,2254,79,6,2300,44,3,2350,47,57,0,,0,135,113,104,837,57,0,0,0,0
11/2/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2520,DFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL",1851,1859,8,13,1912,2058,12,2119,2110,-9,0,,0,148,131,106,801,,,,,
6/1/2021,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3032,DFW,"Dallas/Fort Worth, TX",BIL,"Billings, MT",1900,1859,-1,15,1914,2048,4,2058,2052,-6,0,,0,178,173,154,1081,,,,,
5/28/2022,Republic Airline,Republic Airline: YX,YX,20452,3593,MHT,"Manchester, NH",EWR,"Newark, NJ",600,555,-5,18,613,700,6,737,706,-31,0,,0,97,71,47,209,,,,,
10/8/2022,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2720,DFW,"Dallas/Fort Worth, TX",TUS,"Tucson, AZ",826,820,-6,18,838,832,5,850,837,-13,0,,0,144,137,114,813,,,,,
10/28/2020,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5047,RDU,"Raleigh/Durham, NC",DTW,"Detroit, MI",1745,1740,-5,11,1751,1907,14,1932,1921,-11,0,,0,107,101,76,501,,,,,
1/1/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,345,ATL,"Atlanta, GA",DAB,"Daytona Beach, FL",939,935,-4,12,947,1041,3,1055,1044,-11,0,,0,76,69,54,366,,,,,
12/28/2020,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5327,SFO,"San Francisco, CA",BOI,"Boise, ID",1825,1823,-2,17,1840,2108,3,2105,2111,6,0,,0,100,108,88,522,,,,,
1/2/2022,Republic Airline,Republic Airline: YX,YX,20452,3467,ORD,"Chicago, IL",DCA,"Washington, DC",1935,,,,,,,2241,,,1,B,0,126,,,612,,,,,
5/17/2022,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4041,BWI,"Baltimore, MD",MHT,"Manchester, NH",755,750,-5,13,803,902,5,915,907,-8,0,,0,80,77,59,377,,,,,
3/4/2020,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1013,SFO,"San Francisco, CA",DEN,"Denver, CO",1252,1251,-1,20,1311,1612,9,1629,1621,-8,0,,0,157,150,121,967,,,,,
12/20/2021,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5056,PRC,"Prescott, AZ",DEN,"Denver, CO",600,608,8,11,619,739,10,759,749,-10,0,,0,119,101,80,557,,,,,
7/3/2023,JetBlue Airways,JetBlue Airways: B6,B6,20409,431,BOS,"Boston, MA",LGA,"New York, NY",1400,1350,-10,15,1405,1449,6,1521,1455,-26,0,,0,81,65,44,184,,,,,
1/6/2020,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1530,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",1030,1035,5,15,1050,1724,4,1740,1728,-12,0,,0,250,233,214,1947,,,,,
2/26/2021,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,440,SMF,"Sacramento, CA",DEN,"Denver, CO",530,526,-4,11,537,832,7,847,839,-8,0,,0,137,133,115,909,,,,,
4/8/2023,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3355,MDW,"Chicago, IL",SAT,"San Antonio, TX",2120,2133,13,7,2140,2,3,15,5,-10,0,,0,175,152,142,1036,,,,,
6/12/2021,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1031,DTW,"Detroit, MI",ATL,"Atlanta, GA",1330,1332,2,10,1342,1522,6,1531,1528,-3,0,,0,121,116,100,594,,,,,
4/16/2019,Envoy Air,Envoy Air: MQ,MQ,20398,3657,GRR,"Grand Rapids, MI",ORD,"Chicago, IL",1414,1409,-5,13,1422,1355,15,1420,1410,-10,0,,0,66,61,33,137,,,,,
1/16/2023,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5762,DEN,"Denver, CO",SLC,"Salt Lake City, UT",1720,1725,5,23,1748,1902,7,1907,1909,2,0,,0,107,104,74,391,,,,,
1/7/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,397,SAT,"San Antonio, TX",DAL,"Dallas, TX",1350,1401,11,6,1407,1452,3,1455,1455,0,0,,0,65,54,45,248,,,,,
5/25/2019,Republic Airline,Republic Airline: YX,YX,20452,3604,MSY,"New Orleans, LA",EWR,"Newark, NJ",1330,1416,46,11,1427,1800,9,1740,1809,29,0,,0,190,173,153,1167,0,0,13,0,16
11/20/2021,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,444,SEA,"Seattle, WA",LAX,"Los Angeles, CA",930,931,1,11,942,1147,9,1220,1156,-24,0,,0,170,145,125,954,,,,,
2/19/2021,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1673,CMH,"Columbus, OH",MCO,"Orlando, FL",745,740,-5,19,759,1001,10,1005,1011,6,0,,0,140,151,122,802,,,,,
8/7/2020,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5437,SRQ,"Sarasota/Bradenton, FL",CLT,"Charlotte, NC",622,619,-3,19,638,757,14,813,811,-2,0,,0,111,112,79,547,,,,,
1/7/2020,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,779,STL,"St. Louis, MO",SEA,"Seattle, WA",1940,1924,-16,12,1936,2201,6,2215,2207,-8,0,,0,275,283,265,1709,,,,,
2/27/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,760,MDW,"Chicago, IL",MHT,"Manchester, NH",2120,2203,43,15,2218,52,4,25,56,31,0,,0,125,113,94,838,31,0,0,0,0
11/27/2019,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,121,SJU,"San Juan, PR",TPA,"Tampa, FL",1857,1856,-1,14,1910,2049,8,2110,2057,-13,0,,0,193,181,159,1237,,,,,
2/11/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1721,SFO,"San Francisco, CA",SAN,"San Diego, CA",1115,1226,71,19,1245,1348,16,1250,1404,74,0,,0,95,98,63,447,71,0,3,0,0
2/26/2020,JetBlue Airways,JetBlue Airways: B6,B6,20409,965,BOS,"Boston, MA",RSW,"Fort Myers, FL",1544,1538,-6,24,1602,1942,7,1920,1949,29,0,,0,216,251,220,1249,0,0,29,0,0
7/14/2022,Republic Airline,Republic Airline: YX,YX,20452,4649,DCA,"Washington, DC",CHS,"Charleston, SC",1346,1343,-3,20,1403,1523,5,1529,1528,-1,0,,0,103,105,80,444,,,,,
8/4/2019,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5754,PHX,"Phoenix, AZ",ELP,"El Paso, TX",1231,1226,-5,22,1248,1439,2,1448,1441,-7,0,,0,77,75,51,347,,,,,
3/5/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1168,ORD,"Chicago, IL",SAN,"San Diego, CA",1320,1315,-5,12,1327,1533,5,1545,1538,-7,0,,0,265,263,246,1723,,,,,
4/6/2023,JetBlue Airways,JetBlue Airways: B6,B6,20409,1248,TPA,"Tampa, FL",LGA,"New York, NY",1016,1007,-9,48,1055,1309,9,1304,1318,14,0,,0,168,191,134,1010,,,,,
7/3/2020,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1710,SLC,"Salt Lake City, UT",MSP,"Minneapolis, MN",1349,1346,-3,21,1407,1707,4,1710,1711,1,0,,0,141,145,120,991,,,,,
5/13/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1232,DCA,"Washington, DC",JFK,"New York, NY",605,600,-5,11,611,657,19,720,716,-4,0,,0,75,76,46,213,,,,,
4/4/2019,Republic Airline,Republic Airline: YX,YX,20452,4420,CMH,"Columbus, OH",PHL,"Philadelphia, PA",559,557,-2,14,611,722,5,735,727,-8,0,,0,96,90,71,406,,,,,
4/2/2021,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,607,IND,"Indianapolis, IN",DEN,"Denver, CO",1319,1310,-9,12,1322,1339,12,1418,1351,-27,0,,0,179,161,137,977,,,,,
3/29/2019,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,530,IAH,"Houston, TX",SAT,"San Antonio, TX",2000,1955,-5,17,2012,2048,3,2103,2051,-12,0,,0,63,56,36,191,,,,,
9/12/2019,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,3338,LGA,"New York, NY",PWM,"Portland, ME",1755,1745,-10,24,1809,1857,3,1918,1900,-18,0,,0,83,75,48,269,,,,,
6/26/2021,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,1014,SEA,"Seattle, WA",ORD,"Chicago, IL",1033,1055,22,16,1111,1652,7,1642,1659,17,0,,0,249,244,221,1721,0,0,0,0,17
5/30/2022,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2013,TUL,"Tulsa, OK",DFW,"Dallas/Fort Worth, TX",1431,1426,-5,13,1439,1521,12,1554,1533,-21,0,,0,83,67,42,237,,,,,
11/11/2022,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,229,PHL,"Philadelphia, PA",SAN,"San Diego, CA",1830,1848,18,21,1909,2120,3,2123,2123,0,0,,0,353,335,311,2370,,,,,
3/17/2020,Envoy Air,Envoy Air: MQ,MQ,20398,3620,GRK,"Killeen, TX",DFW,"Dallas/Fort Worth, TX",1606,1658,52,32,1730,1810,20,1705,1830,85,0,,0,59,92,40,134,0,0,33,0,52
4/20/2020,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,246,BNA,"Nashville, TN",ATL,"Atlanta, GA",1055,,,,,,,1300,,,1,D,0,65,,,214,,,,,
7/31/2022,Envoy Air,Envoy Air: MQ,MQ,20398,3831,DFW,"Dallas/Fort Worth, TX",SBP,"San Luis Obispo, CA",1908,1918,10,17,1935,2029,5,2033,2034,1,0,,0,205,196,174,1360,,,,,
2/25/2020,Republic Airline,Republic Airline: YX,YX,20452,4508,ILM,"Wilmington, NC",LGA,"New York, NY",1102,1051,-11,16,1107,1222,13,1250,1235,-15,0,,0,108,104,75,500,,,,,
2/20/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,59,LAX,"Los Angeles, CA",KOA,"Kona, HI",820,827,7,18,845,1156,5,1228,1201,-27,0,,0,368,334,311,2504,,,,,
8/16/2020,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1298,CMH,"Columbus, OH",ATL,"Atlanta, GA",1050,1046,-4,10,1056,1202,4,1220,1206,-14,0,,0,90,80,66,447,,,,,
2/25/2021,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2315,PHX,"Phoenix, AZ",DEN,"Denver, CO",2009,2004,-5,24,2028,2149,8,2211,2157,-14,0,,0,122,113,81,602,,,,,
10/25/2021,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5381,CLT,"Charlotte, NC",GSP,"Greer, SC",936,926,-10,41,1007,1024,3,1029,1027,-2,0,,0,53,61,17,75,,,,,
2/1/2023,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1854,DEN,"Denver, CO",LAS,"Las Vegas, NV",1420,1444,24,10,1454,1517,8,1515,1525,10,0,,0,115,101,83,628,,,,,
3/21/2023,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,4953,ATL,"Atlanta, GA",VLD,"Valdosta, GA",1534,1529,-5,15,1544,1622,5,1638,1627,-11,0,,0,64,58,38,208,,,,,
4/8/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1977,TPA,"Tampa, FL",MIA,"Miami, FL",614,606,-8,14,620,656,4,717,700,-17,0,,0,63,54,36,204,,,,,
3/27/2021,Envoy Air,Envoy Air: MQ,MQ,20398,4294,JLN,"Joplin, MO",DFW,"Dallas/Fort Worth, TX",1750,1740,-10,8,1748,1855,9,1927,1904,-23,0,,0,97,84,67,327,,,,,
12/2/2021,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1218,SLC,"Salt Lake City, UT",MCI,"Kansas City, MO",2103,2100,-3,13,2113,10,5,29,15,-14,0,,0,146,135,117,920,,,,,
1/13/2019,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,220,ORD,"Chicago, IL",MSP,"Minneapolis, MN",1940,1941,1,24,2005,2101,4,2109,2105,-4,0,,0,89,84,56,334,,,,,
3/15/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2535,MKE,"Milwaukee, WI",LAS,"Las Vegas, NV",1130,1129,-1,7,1136,1314,9,1330,1323,-7,0,,0,240,234,218,1524,,,,,
4/14/2022,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3509,MSP,"Minneapolis, MN",MKE,"Milwaukee, WI",1944,1941,-3,29,2010,2054,5,2050,2059,9,0,,0,66,78,44,297,,,,,
10/25/2021,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1376,CLT,"Charlotte, NC",EWR,"Newark, NJ",754,743,-11,29,812,929,8,945,937,-8,0,,0,111,114,77,529,,,,,
6/22/2023,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1359,BNA,"Nashville, TN",MCO,"Orlando, FL",510,506,-4,15,521,744,6,800,750,-10,0,,0,110,104,83,616,,,,,
12/1/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1950,MCO,"Orlando, FL",LGA,"New York, NY",800,823,23,25,848,1048,7,1035,1055,20,0,,0,155,152,120,950,20,0,0,0,0
7/1/2019,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,695,BWI,"Baltimore, MD",LAS,"Las Vegas, NV",1459,1452,-7,10,1502,1625,10,1701,1635,-26,0,,0,302,283,263,2106,,,,,
3/14/2022,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3649,BIL,"Billings, MT",MSP,"Minneapolis, MN",1400,1358,-2,17,1415,1656,4,1700,1700,0,0,,0,120,122,101,748,,,,,
3/30/2019,Allegiant Air,Allegiant Air: G4,G4,20368,720,BLI,"Bellingham, WA",PSP,"Palm Springs, CA",730,715,-15,8,723,941,4,1018,945,-33,0,,0,168,150,138,1078,,,,,
2/7/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2229,CHS,"Charleston, SC",ATL,"Atlanta, GA",1244,1236,-8,20,1256,1342,5,1408,1347,-21,0,,0,84,71,46,259,,,,,
10/5/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1911,RIC,"Richmond, VA",CLT,"Charlotte, NC",635,630,-5,13,643,731,8,810,739,-31,0,,0,95,69,48,257,,,,,
12/29/2021,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1277,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",1233,1305,32,13,1318,1548,10,1540,1558,18,0,,0,127,113,90,731,0,0,0,0,18
6/7/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,833,DTW,"Detroit, MI",SAN,"San Diego, CA",830,826,-4,14,840,939,3,1017,942,-35,0,,0,287,256,239,1956,,,,,
10/14/2022,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1640,ORD,"Chicago, IL",LAX,"Los Angeles, CA",1841,1851,10,19,1910,2100,5,2105,2105,0,0,,0,264,254,230,1744,,,,,
11/27/2022,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,518,PHX,"Phoenix, AZ",OAK,"Oakland, CA",1555,1558,3,12,1610,1649,5,1655,1654,-1,0,,0,120,116,99,646,,,,,
5/13/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,867,GSO,"Greensboro/High Point, NC",ATL,"Atlanta, GA",525,520,-5,12,532,624,7,638,631,-7,0,,0,73,71,52,306,,,,,
1/25/2021,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,4777,ATL,"Atlanta, GA",BHM,"Birmingham, AL",1353,1349,-4,11,1400,1333,3,1346,1336,-10,0,,0,53,47,33,134,,,,,
9/8/2019,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3351,MCI,"Kansas City, MO",PDX,"Portland, OR",1515,1500,-15,33,1533,1703,7,1710,1710,0,0,,0,235,250,210,1482,,,,,
8/5/2023,JetBlue Airways,JetBlue Airways: B6,B6,20409,895,EWR,"Newark, NJ",MCO,"Orlando, FL",1052,1046,-6,16,1102,1306,12,1350,1318,-32,0,,0,178,152,124,937,,,,,
10/10/2022,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1979,PHL,"Philadelphia, PA",MCO,"Orlando, FL",700,657,-3,16,713,917,7,935,924,-11,0,,0,155,147,124,861,,,,,
5/16/2020,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1671,LAX,"Los Angeles, CA",EWR,"Newark, NJ",1315,1311,-4,13,1324,2057,6,2134,2103,-31,0,,0,319,292,273,2454,,,,,
11/9/2022,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2731,ELP,"El Paso, TX",DAL,"Dallas, TX",1255,1254,-1,15,1309,1532,4,1535,1536,1,0,,0,100,102,83,562,,,,,
8/16/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2248,DFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA",1054,1048,-6,34,1122,1241,7,1247,1248,1,0,,0,233,240,199,1464,,,,,
1/30/2023,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,867,DFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA",1640,2023,223,82,2145,2241,7,1808,2248,280,0,,0,208,265,176,1235,0,8,57,0,215
10/1/2019,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5407,LAX,"Los Angeles, CA",MFR,"Medford, OR",1855,1844,-11,14,1858,2036,5,2058,2041,-17,0,,0,123,117,98,630,,,,,
12/16/2020,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2773,BNA,"Nashville, TN",DEN,"Denver, CO",1100,1107,7,15,1122,1247,6,1255,1253,-2,0,,0,175,166,145,1014,,,,,
5/19/2023,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,976,DEN,"Denver, CO",ATL,"Atlanta, GA",59,55,-4,9,104,529,7,551,536,-15,0,,0,172,161,145,1199,,,,,
1/5/2022,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2273,MSP,"Minneapolis, MN",RDU,"Raleigh/Durham, NC",1940,1959,19,48,2047,2345,7,2322,2352,30,0,,0,162,173,118,980,0,0,11,0,19
